"PassengerId","Survived"
1275,"1"
1276,"0"
1277,"0"
1278,"0"
1279,"1"
1280,"0"
1281,"1"
1282,"0"
1283,"0"
1284,"0"
1285,"1"
1286,"0"
1287,"0"
1288,"0"
1289,"0"
1290,"0"
1291,"0"
1292,"0"
1293,"0"
1294,"0"
1295,"0"
1296,"0"
1297,"0"
1298,"0"
1299,"1"
1300,"1"
1301,"1"
1302,"1"
1303,"0"
1304,"1"
1305,"0"
1306,"0"
1307,"0"
1308,"0"
1309,"0"
