"PassengerId","TFC_Survived","ada","rf","ksvm","glm","nnet"
183,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
209,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
407,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
576,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
390,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
350,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
92,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
136,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
577,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
345,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
559,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
388,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
288,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
433,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
99,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
138,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
418,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
347,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
123,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
21,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
74,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
112,"[0,0]","[0,0]","[0,0]","(0,1]","(0,1]","[0,0]"
237,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
101,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
354,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
547,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
185,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
252,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
1,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
283,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
81,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
174,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
314,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
551,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
270,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
115,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
45,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
42,"[0,0]","[0,0]","[0,0]","(0,1]","(0,1]","(0,1]"
578,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
318,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
492,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
103,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","(0,1]"
440,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
436,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
344,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
154,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
239,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
533,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
287,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
289,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
104,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
475,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
179,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
511,"(0,1]","(0,1]","(0,1]","(0,1]","[0,0]","[0,0]"
566,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
338,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
332,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
243,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
477,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
273,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
378,"[0,0]","[0,0]","[0,0]","(0,1]","[0,0]","[0,0]"
337,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
205,"(0,1]","[0,0]","(0,1]","[0,0]","[0,0]","[0,0]"
238,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
554,"(0,1]","[0,0]","(0,1]","[0,0]","[0,0]","[0,0]"
450,"(0,1]","[0,0]","(0,1]","[0,0]","[0,0]","[0,0]"
156,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
269,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
364,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
441,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
459,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
249,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
255,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
313,"[0,0]","[0,0]","[0,0]","(0,1]","(0,1]","(0,1]"
171,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
396,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
413,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
556,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
311,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
386,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
435,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
267,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
395,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
357,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
451,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
343,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
52,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
478,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
258,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
67,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
35,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
192,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
319,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
297,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
549,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
73,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
383,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
120,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","(0,1]"
64,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
464,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
132,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
312,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
438,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
572,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
309,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
79,"(0,1]","(0,1]","(0,1]","(0,1]","[0,0]","(0,1]"
11,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","[0,0]"
58,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
264,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
363,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
552,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
231,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
80,"(0,1]","(0,1]","(0,1]","[0,0]","(0,1]","[0,0]"
207,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
72,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
172,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
505,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
50,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
502,"[0,0]","(0,1]","[0,0]","(0,1]","(0,1]","(0,1]"
449,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
153,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
589,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
437,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
157,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
55,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
306,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
218,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
463,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
280,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
333,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
487,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
117,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
97,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
266,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
420,"[0,0]","[0,0]","[0,0]","(0,1]","(0,1]","[0,0]"
531,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
281,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
417,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
105,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
382,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
485,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
379,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
346,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
24,"(0,1]","(0,1]","(0,1]","[0,0]","(0,1]","[0,0]"
16,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
184,"(0,1]","(0,1]","(0,1]","(0,1]","[0,0]","(0,1]"
40,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
545,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
557,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
405,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
591,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
575,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
148,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
391,"(0,1]","(0,1]","(0,1]","(0,1]","[0,0]","[0,0]"
147,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
320,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
158,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
87,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
90,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
176,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
211,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
113,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
17,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","(0,1]"
145,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
423,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
342,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
483,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
173,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
439,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
152,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
593,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
170,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
295,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
100,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
250,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
98,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","[0,0]"
61,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
13,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
393,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
109,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
53,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
94,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
5,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
293,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
235,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
472,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
253,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
162,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
124,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
321,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
366,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
540,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
400,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
470,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
137,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
466,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
44,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
140,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
259,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
95,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
57,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
588,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
544,"(0,1]","[0,0]","(0,1]","[0,0]","[0,0]","[0,0]"
294,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
216,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
28,"[0,0]","[0,0]","[0,0]","(0,1]","[0,0]","[0,0]"
484,"(0,1]","(0,1]","(0,1]","(0,1]","[0,0]","[0,0]"
151,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
164,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
190,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
34,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
86,"(0,1]","(0,1]","(0,1]","(0,1]","[0,0]","(0,1]"
245,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
398,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
36,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
222,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
515,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
580,"(0,1]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
223,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
424,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
198,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
546,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
408,"(0,1]","(0,1]","(0,1]","(0,1]","[0,0]","(0,1]"
367,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
276,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
568,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
499,"[0,0]","[0,0]","[0,0]","(0,1]","(0,1]","(0,1]"
118,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
520,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
114,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
392,"(0,1]","[0,0]","(0,1]","[0,0]","[0,0]","[0,0]"
315,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
538,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
489,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
41,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
535,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
495,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
419,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
7,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
196,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
517,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
448,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
497,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
76,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
399,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
165,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
133,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
260,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
226,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
106,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
308,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
12,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
403,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
415,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
194,"(0,1]","(0,1]","(0,1]","(0,1]","[0,0]","(0,1]"
85,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
246,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
70,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
581,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
504,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
225,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
461,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
507,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
279,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
529,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
62,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
128,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
584,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
262,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
402,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
272,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","(0,1]"
25,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
290,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
107,"(0,1]","(0,1]","(0,1]","[0,0]","(0,1]","[0,0]"
457,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
69,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","(0,1]"
522,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
256,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","[0,0]"
